№,ID,Адрес,Метро,Часы работы,Широта (WGS84),Долгота (WGS84),Широта,Долгота
135,165715,"ул. Башиловская, 26","Дмитровская, Савёловская",пн-вс 9:00 - 22:05,55.8046239,37.5738474,55.8046239,37.5738474
138,3171965,"наб. Шелепихинская, 14","Шелепиха, Фили",пн-вс 9:00 - 22:05,55.7536724,37.5203972,55.7536724,37.5203972
139,4235262,"ул. Бутырская, 91","Дмитровская, Савёловская, Тимирязевская",пн-вс 9:00 - 22:05,55.8063168,37.5809441,55.8063168,37.5809441
141,1681692,"пер. Подъемный, 1","Нижегородская, Новохохловская",пн-вс 9:00 - 22:05,55.737154,37.7099251,55.737154,37.7099251
147,4545084,"ш. Энтузиастов, 22/18","Авиамоторная, Андроновка",пн-вс 9:00 - 22:05,55.7505643,37.7173823,55.7505643,37.7173823
148,3797582,"ул. Сторожевая, 31","Лефортово, Авиамоторная",пн-вс 9:00 - 22:05,55.7647986,37.7168314,55.7647986,37.7168314
153,1936653,"ш. Энтузиастов, 26","Авиамоторная, Андроновка",пн-вс 8:00 - 22:05,55.7517568,37.7273414,55.7517568,37.7273414
154,3699158,"ул. Короленко, 4/14","Сокольники, Преображенская площадь",пн-вс 9:00 - 22:05,55.7964957,37.6894792,55.7964957,37.6894792
157,4493957,"ул. Родченко, 2","ЗИЛ , Тульская",пн-вс 9:00 - 22:05,55.6976902,37.6307964,55.6976902,37.6307964
160,1026453,"пр-д Дмитровский, 4","Дмитровская, Тимирязевская",пн-вс 9:00 - 22:05,56.3270979,37.5221622,56.3270979,37.5221622
161,4208598,"ул. Пруд-Ключики, 5","Авиамоторная, Андроновка",пн-вс 9:00 - 22:05,55.749359,37.721321,55.749359,37.721321
163,4322260,"ш. Хорошевское, 82","Полежаевская, Хорошёвская, Хорошёво",пн-вс 9:00 - 22:05,55.7783125,37.5213824,55.7783125,37.5213824
164,9907,"ул. Руставели, 15","Бутырская, Улица Милашенкова, Фонвизинская",пн-вс 9:00 - 22:05,55.813745,37.5974763,55.813745,37.5974763
165,1582523,"ул. Авиамоторная, 51","Андроновка, Авиамоторная",пн-вс 8:00 - 22:05,55.7463437,37.7209615,55.7463437,37.7209615
166,4405200,"ул. Нижегородская, 76, к. 1",Нижегородская,пн-вс 9:00 - 22:05,55.5868803,38.1418807,55.5868803,38.1418807
167,1339223,"ул. Трофимова, 9","Автозаводская, Технопарк",пн-вс 9:00 - 22:05,55.7037129,37.6669837,55.7037129,37.6669837
170,2241259,"пер. Мажоров, 4","Электрозаводская, Семёновская, Преображенская площадь",пн-вс 9:00 - 22:05,55.7822841,37.7121671,55.7822841,37.7121671
172,1289304,"ул. Руставели, 1/2","Дмитровская, Тимирязевская, Бутырская",пн-вс 9:00 - 22:05,55.8128057,37.5831105,55.8128057,37.5831105
173,4480227,"ул. Маломосковская, 19","ВДНХ, Алексеевская, Выставочная",пн-вс 9:00 - 22:05,55.8132892,37.6484489,55.8132892,37.6484489
175,4198076,"ул. Куусинена, 1","Полежаевская, Хорошёвская, Хорошёво",пн-вс 9:00 - 22:05,55.7802354,37.5166764,55.7802354,37.5166764
176,1301455,"ул. Южнопортовая, 16","Кожуховская, Дубровка",пн-вс 8:00 - 22:05,55.7065847,37.6883373,55.7065847,37.6883373
179,1185369,"ул. Суворовская, 2/1","Семёновская, Преображенская площадь, Электрозаводская",пн-вс 9:00 - 22:05,55.7886803,37.7100757,55.7886803,37.7100757
180,1880261,"ул. Планетная улица, 27","Аэропорт, Петровский парк, Динамо, Сокол",пн-вс 9:00 - 22:05,55.8020023,37.545459,55.8020023,37.545459
